no,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
45,22.5,27.445,0,646,0.004627429,No
46,22.5,27.5,0,646,0.004636772,No
47,22.5,27.445,0,641.5,0.004627429,No
48,22.39,27.29,0,639,0.004570212,No
49,22.5,27.5,0,640,0.004636772,No
50,22.39,27.34,0,630.5,0.004578647,No
51,22.39,27.35666667,0,629.3333333,0.004581459,No
52,22.39,27.5,0,632,0.004605641,No
53,22.39,27.5,0,636.5,0.004605641,No
54,22.39,27.5,0,627.5,0.004605641,No
55,22.39,27.39,0,626,0.004587082,No
56,22.39,27.5,0,625.5,0.004605641,No
57,22.34,27.39,0,623.5,0.00457305,No
58,22.39,27.46333333,0,624.6666667,0.004599455,No
59,22.39,27.39,0,622,0.004587082,No
60,22.29,27.39,0,621,0.004559056,No
61,22.34,27.39,0,626.5,0.00457305,No
62,22.29,27.39,0,622,0.004559056,No
63,22.39,27.39,0,620,0.004587082,No
64,22.29,27.39,0,621.5,0.004559056,No
65,22.29,27.35666667,0,616.3333333,0.004553467,No
66,22.29,27.34,0,609,0.004550673,No
67,22.29,27.39,0,614,0.004559056,No
68,22.29,27.34,0,613.5,0.004550673,No
69,22.29,27.34,0,611,0.004550673,No
70,22.29,27.39,0,612,0.004559056,No
71,22.29,27.29,0,608,0.00454229,No
72,22.29,27.29,0,605.5,0.00454229,No
73,22.2675,27.315,0,608.5,0.004540214,No
74,22.2,27.29,0,608.5,0.004517288,No
75,22.245,27.29,0,602.5,0.004529774,No
76,22.2,27.29,0,598,0.004517288,No
77,22.2,27.29,0,595,0.004517288,No
78,22.2,27.29,0,591,0.004517288,No
79,22.245,27.245,0,591,0.00452225,No
80,22.2,27.2,0,595,0.004502283,No
81,22.2,27.29,0,594.3333333,0.004517288,No
82,22.2,27.29,0,593.5,0.004517288,No
83,22.2,27.29,0,592,0.004517288,No
84,22.15,27.245,0,586.5,0.004495971,No
85,22.2,27.2,0,586,0.004502283,No
86,22.15,27.245,0,586,0.004495971,No
87,22.2,27.245,0,584.5,0.004509785,No
88,22.1,27.245,0,584.5,0.004482195,No
89,22.1,27.2,0,585.5,0.004474738,No
90,22.13333333,27.2,0,584.6666667,0.004483903,No
91,22.2,27.2,0,577,0.004502283,No
92,22.1,27.2,0,580,0.004474738,No
93,22.125,27.2,0,582,0.00448161,No
94,22.2,27.2,0,580,0.004502283,No
95,22.1,27.15,0,578,0.004466454,No
96,22.1,27.2,0,576.5,0.004474738,No
97,22.1,27.2,0,580,0.004474738,No
98,22.1,27.2,0,572.5,0.004474738,No
99,22.1,27.2,0,567,0.004474738,No
100,22.1,27.2,0,568,0.004474738,No
101,22.1,27.2,0,574.5,0.004474738,No
102,22.1,27.2,0,564.3333333,0.004474738,No
103,22.1,27.2,0,563,0.004474738,No
104,22.1,27.15,0,564.5,0.004466454,No
105,22.06666667,27.16666667,0,566.3333333,0.004460078,No
106,22.1,27.1,0,562,0.004458169,No
107,22,27.1,0,565.5,0.004430876,No
108,22,27.1,0,570,0.004430876,No
109,22.05,27.15,0,562,0.004452763,No
110,22,27.1,0,560,0.004430876,No
111,22,27.1,0,558,0.004430876,No
112,22,27.1,0,556,0.004430876,No
113,22,27.1,0,557,0.004430876,No
114,21.9175,27.1,0,556.5,0.004408469,No
115,21.945,27.1,0,557.5,0.004415927,No
116,21.92666667,27.1,0,555,0.004410954,No
117,21.89,27.1,0,555,0.004401023,No
118,21.89,27.1,0,553,0.004401023,No
119,21.89,27.1,0,549.5,0.004401023,No
120,21.89,27.1,0,548.5,0.004401023,No
121,21.89,27.1,0,551.5,0.004401023,No
122,21.89,27.1,0,548.5,0.004401023,No
123,21.89,27.1,0,548,0.004401023,No
124,21.89,27.1,0,547.5,0.004401023,No
125,21.89,27.1,0,553,0.004401023,No
126,21.84,27.1,0,547.5,0.004387512,No
127,21.85666667,27.1,0,548.6666667,0.004392012,No
128,21.79,27.1,0,540,0.004374038,No
129,21.79,27.1,0,538,0.004374038,No
130,21.79,27.1,0,542,0.004374038,No
131,21.79,27.1,0,542,0.004374038,No
132,21.79,27.1,0,538,0.004374038,No
133,21.79,27.1,0,537.6666667,0.004374038,No
134,21.79,27.1,0,537.5,0.004374038,No
135,21.79,27.1,0,536,0.004374038,No
136,21.745,27.1,0,534.5,0.004361943,No
137,21.7,27.1,0,532.5,0.004349877,No
138,21.76,27.1,0,530,0.004365971,No
139,21.745,27.05,0,529.5,0.004353839,No
140,21.79,27.05,0,531,0.004365912,No
141,21.73,27,0,533.3333333,0.004341725,No
142,21.745,27,0,531,0.004345735,No
143,21.745,27,0,529,0.004345735,No
144,21.745,27,0,528.5,0.004345735,No
145,21.7,27,0,525,0.004333714,No
146,21.7,27,0,528.5,0.004333714,No
147,21.7,27,0,530.5,0.004333714,No
148,21.7,26.89,0,528,0.004315936,No
149,21.7,26.89,0,526,0.004315936,No
150,21.7,26.89,0,530,0.004315936,No
151,21.7,26.89,0,533.3333333,0.004315936,No
152,21.7,26.89,0,529,0.004315936,No
153,21.7,26.89,0,528,0.004315936,No
154,21.7,26.89,0,526,0.004315936,No
155,21.7,26.89,0,526,0.004315936,No
156,21.7,26.79,0,521,0.004299774,No
157,21.7,26.79,0,518,0.004299774,No
158,21.7,26.79,0,515.5,0.004299774,No
159,21.7,26.79,0,520,0.004299774,No
160,21.7,26.7675,0,523.5,0.004296138,No
161,21.7,26.79,0,525.5,0.004299774,No
162,21.7,26.79,0,525.5,0.004299774,No
163,21.7,26.79,0,514,0.004299774,No
164,21.7,26.7,0,518,0.00428523,No
165,21.7,26.7,0,518,0.00428523,No
166,21.7,26.7,0,520,0.00428523,No
167,21.6,26.7,0,521,0.004258922,No
168,21.6,26.6,0,518,0.004242862,No
169,21.6,26.65,0,517,0.004250892,No
170,21.6,26.6,0,511.5,0.004242862,No
171,21.65,26.65,0,514,0.004264003,No
172,21.6,26.55,0,515.5,0.004234832,No
173,21.6,26.5,0,517,0.004226803,No
174,21.6,26.5,0,515,0.004226803,No
175,21.6,26.5,0,512,0.004226803,No
176,21.6,26.5,0,515,0.004226803,No
177,21.65,26.55,0,511,0.004247894,No
178,21.6,26.5,0,514,0.004226803,No
179,21.6,26.445,0,508,0.004217971,No
180,21.6,26.4725,0,509.75,0.004222387,No
181,21.6,26.445,0,508.75,0.004217971,No
182,21.6,26.445,0,508.5,0.004217971,No
183,21.6,26.39,0,507,0.004209139,No
184,21.6,26.39,0,507,0.004209139,No
185,21.6,26.39,0,503.5,0.004209139,No
186,21.6,26.39,0,504,0.004209139,No
187,21.6,26.39,0,504,0.004209139,No
188,21.575,26.315,0,500.5,0.004190637,No
189,21.6,26.29,0,500,0.004193082,No
190,21.6,26.29,0,503.5,0.004193082,No
191,21.55,26.245,0,503,0.004172982,No
192,21.55,26.245,0,502.5,0.004172982,No
193,21.5,26.2,0,502,0.004152962,No
194,21.56666667,26.2,0,502,0.004170059,No
195,21.5,26.2,0,502.5,0.004152962,No
196,21.5,26.2,0,497,0.004152962,No
197,21.5,26.15,0,501.5,0.004144984,No
198,21.5,26.15,0,504,0.004144984,No
199,21.5,26.1,0,501,0.004137006,No
200,21.5,26.1,0,493.75,0.004137006,No
201,21.5,26.1,0,500,0.004137006,No
202,21.5,26.1,0,504.5,0.004137006,No
203,21.5,26.05,0,504,0.004129028,No
204,21.5,26.1,0,501,0.004137006,No
205,21.5,26,0,499,0.00412105,No
206,21.5,26,0,502,0.00412105,No
207,21.5,26,0,503.5,0.00412105,No
208,21.5,26,0,500.6666667,0.00412105,No
209,21.5,26,0,493,0.00412105,No
210,21.5,26,0,492.5,0.00412105,No
211,21.5,26,0,493,0.00412105,No
212,21.5,25.89,0,495.5,0.0041035,No
213,21.5,26,0,492.6666667,0.00412105,No
214,21.5,26,0,490,0.00412105,No
215,21.5,25.92666667,0,493,0.00410935,No
216,21.5,25.89,0,494.6666667,0.0041035,No
217,21.5,25.89,0,496,0.0041035,No
218,21.5,25.89,0,491,0.0041035,No
219,21.5,25.84,0,490.5,0.004095523,No
220,21.5,25.84,0,490,0.004095523,No
221,21.5,25.89,0,491,0.0041035,No
222,21.5,25.89,0,491.6666667,0.0041035,No
223,21.5,25.89,0,493.5,0.0041035,No
224,21.4725,25.865,0,493.75,0.004092568,No
225,21.5,25.84,0,490,0.004095523,No
226,21.5,25.79,0,488,0.004087546,No
227,21.5,25.79,0,490,0.004087546,No
228,21.5,25.79,0,487,0.004087546,No
229,21.445,25.745,0,492.5,0.004066556,No
230,21.445,25.745,0,493.5,0.004066556,No
231,21.46333333,25.76,0,493.3333333,0.004073542,No
232,21.445,25.745,0,488,0.004066556,No
233,21.5,25.79,0,487.5,0.004087546,No
234,21.42666667,25.73,0,485.3333333,0.004059579,No
235,21.39,25.7,0,484,0.004045656,No
236,21.39,25.7,0,489,0.004045656,No
237,21.445,25.745,0,488,0.004066556,No
238,21.5,25.79,0,493,0.004087546,No
239,21.39,25.7,0,491,0.004045656,No
240,21.445,25.745,0,488,0.004066556,No
241,21.445,25.745,0,487.25,0.004066556,No
242,21.39,25.7,0,489,0.004045656,No
243,21.5,25.79,0,489,0.004087546,No
244,21.39,25.7,0,486,0.004045656,No
245,21.42666667,25.73,0,484.6666667,0.004059579,No
246,21.39,25.7,0,485,0.004045656,No
247,21.39,25.7,0,487,0.004045656,No
248,21.39,25.7,0,492,0.004045656,No
249,21.39,25.7,0,490.6666667,0.004045656,No
250,21.39,25.7,0,488,0.004045656,No
251,21.39,25.7,0,485.5,0.004045656,No
252,21.39,25.7,0,486,0.004045656,No
253,21.39,25.7,0,485.5,0.004045656,No
254,21.39,25.7,0,486,0.004045656,No
255,21.39,25.7,0,480,0.004045656,No
256,21.39,25.7,0,481,0.004045656,No
257,21.39,25.7,0,481.6666667,0.004045656,No
258,21.39,25.7,0,485.5,0.004045656,No
259,21.39,25.7,0,485,0.004045656,No
260,21.39,25.7,0,473,0.004045656,No
261,21.39,25.7,0,475,0.004045656,No
262,21.39,25.7,0,486,0.004045656,No
263,21.39,25.7,0,481.5,0.004045656,No
264,21.39,25.7,0,483,0.004045656,No
265,21.39,25.7,0,479,0.004045656,No
266,21.39,25.7,0,479,0.004045656,No
267,21.39,25.7,0,479,0.004045656,No
268,21.34,25.7,0,479,0.004033195,No
269,21.39,25.7,0,479,0.004045656,No
270,21.39,25.7,0,477,0.004045656,No
271,21.39,25.7,0,477.5,0.004045656,No
272,21.29,25.7,0,477.5,0.004020769,No
273,21.34,25.7,0,480,0.004033195,No
274,21.29,25.7,0,480,0.004020769,No
275,21.34,25.7,0,482,0.004033195,No
276,21.32333333,25.7,0,480.3333333,0.004029049,No
277,21.34,25.7,0,477.5,0.004033195,No
278,21.29,25.7,0,476,0.004020769,No
279,21.39,25.7,0,479,0.004045656,No
280,21.39,25.7,0,471,0.004045656,No
281,21.29,25.7,0,474,0.004020769,No
282,21.29,25.7,0,477.5,0.004020769,No
283,21.34,25.7,0,476,0.004033195,No
284,21.29,25.7,0,474.25,0.004020769,No
285,21.39,25.7,0,475,0.004045656,No
286,21.29,25.7,0,476.5,0.004020769,No
287,21.34,25.7,0,474.5,0.004033195,No
288,21.29,25.7,0,478,0.004020769,No
289,21.29,25.7,0,475.3333333,0.004020769,No
290,21.29,25.7,0,477,0.004020769,No
291,21.29,25.7,0,475.5,0.004020769,No
292,21.29,25.7,0,477.5,0.004020769,No
293,21.29,25.7,0,477.5,0.004020769,No
294,21.29,25.7,0,478,0.004020769,No
295,21.29,25.7,0,473.5,0.004020769,No
296,21.29,25.7,0,472.5,0.004020769,No
297,21.29,25.7,0,472,0.004020769,No
298,21.29,25.7,0,469.5,0.004020769,No
299,21.29,25.7,0,466.6666667,0.004020769,No
300,21.29,25.7,0,467,0.004020769,No
301,21.29,25.7,0,469.5,0.004020769,No
302,21.2,25.6,0,469,0.003982828,No
303,21.29,25.7,0,471,0.004020769,No
304,21.29,25.7,0,469,0.004020769,No
305,21.26,25.66666667,0,467.3333333,0.00400809,No
306,21.245,25.65,0,471.5,0.004001763,No
307,21.23,25.63333333,0,471.6666667,0.003995443,No
308,21.29,25.7,0,475,0.004020769,No
309,21.2,25.6,0,471,0.003982828,No
310,21.2,25.6,0,471,0.003982828,No
311,21.245,25.65,0,471,0.004001763,No
312,21.245,25.65,0,474.5,0.004001763,No
313,21.2,25.6,0,475.5,0.003982828,No
314,21.2,25.6,0,474,0.003982828,No
315,21.2,25.6,0,469,0.003982828,No
316,21.2,25.6,0,474,0.003982828,No
317,21.2,25.6,0,474,0.003982828,No
318,21.2,25.6,0,468.5,0.003982828,No
319,21.2,25.6,0,469.5,0.003982828,No
320,21.2,25.6,0,472.5,0.003982828,No
321,21.2,25.6,0,467.5,0.003982828,No
322,21.2,25.6,0,469,0.003982828,No
323,21.2,25.55,0,466.5,0.003974999,No
324,21.2,25.5,0,469.5,0.003967171,No
325,21.2,25.5,0,469,0.003967171,No
326,21.2,25.5,0,467,0.003967171,No
327,21.2,25.5,0,467.3333333,0.003967171,No
328,21.2,25.5,0,467,0.003967171,No
329,21.2,25.5,0,464.5,0.003967171,No
330,21.2,25.445,0,466,0.00395856,No
331,21.2,25.5,0,473,0.003967171,No
332,21.2,25.39,0,475,0.003949949,No
333,21.2,25.39,0,471,0.003949949,No
334,21.2,25.39,0,470,0.003949949,No
335,21.2,25.39,0,466.25,0.003949949,No
336,21.2,25.39,0,467,0.003949949,No
337,21.2,25.39,0,473,0.003949949,No
338,21.2,25.39,0,468,0.003949949,No
339,21.2,25.39,0,463,0.003949949,No
340,21.2,25.39,0,466,0.003949949,No
341,21.2,25.39,0,467,0.003949949,No
342,21.2,25.29,0,468,0.003934293,No
343,21.2,25.39,0,468,0.003949949,No
344,21.2,25.29,0,468,0.003934293,No
345,21.2,25.34,0,465.5,0.003942121,No
346,21.2,25.39,0,464,0.003949949,No
347,21.2,25.34,0,464.5,0.003942121,No
348,21.2,25.29,0,465.6666667,0.003934293,No
349,21.2,25.365,0,465.75,0.003946035,No
350,21.2,25.39,0,464,0.003949949,No
351,21.2,25.39,0,467,0.003949949,No
352,21.15,25.39,0,466.5,0.003937767,No
353,21.2,25.39,0,465,0.003949949,No
354,21.2,25.39,0,462,0.003949949,No
355,21.2,25.39,0,459.6666667,0.003949949,No
356,21.2,25.29,0,458,0.003934293,No
357,21.2,25.34,0,462.5,0.003942121,No
358,21.2,25.29,0,467,0.003934293,No
359,21.2,25.29,0,466.5,0.003934293,No
360,21.2,25.29,0,463,0.003934293,No
361,21.2,25.29,0,465,0.003934293,No
362,21.2,25.29,0,463.25,0.003934293,No
363,21.2,25.29,0,460,0.003934293,No
364,21.2,25.29,0,457,0.003934293,No
365,21.2,25.29,0,456,0.003934293,No
366,21.245,25.245,0,454,0.003938177,No
367,21.23,25.23,0,454,0.003932179,No
368,21.29,25.29,0,458,0.003956216,No
369,21.2,25.2,0,456,0.003920204,No
370,21.245,25.245,0,456.5,0.003938177,No
371,21.245,25.245,0,458.5,0.003938177,No
372,21.26,25.26,0,459.6666667,0.003944183,No
373,21.245,25.245,0,464,0.003938177,No
374,21.245,25.2,0,465,0.003931113,No
375,21.29,25.2,0,461,0.003942048,No
376,21.245,25.2,0,458.5,0.003931113,No
377,21.29,25.2,0,459,0.003942048,No
378,21.29,25.2,0,451,0.003942048,No
379,21.29,25.2,0,456,0.003942048,No
380,21.29,25.2,0,463,0.003942048,No
381,21.29,25.2,0,461.6666667,0.003942048,No
382,21.29,25.2,0,458,0.003942048,No
383,21.29,25.2,0,450,0.003942048,No
384,21.29,25.2,0,457,0.003942048,No
385,21.29,25.2,0,456,0.003942048,No
386,21.29,25.2,0,456,0.003942048,No
387,21.29,25.2,0,461,0.003942048,No
388,21.29,25.2,0,463,0.003942048,No
389,21.29,25.2,0,460,0.003942048,No
390,21.29,25.2,0,456,0.003942048,No
391,21.29,25.2,0,454.5,0.003942048,No
392,21.29,25.2,0,448.5,0.003942048,No
393,21.29,25.2,0,453.5,0.003942048,No
394,21.29,25.2,0,454,0.003942048,No
395,21.29,25.2,0,454,0.003942048,No
396,21.29,25.245,0,450.5,0.003949132,No
397,21.29,25.245,0,453,0.003949132,No
398,21.2,25.2,0,457,0.003920204,No
399,21.2,25.2,0,452.5,0.003920204,No
400,21.2,25.2,0,449,0.003920204,No
401,21.2,25.2,0,458.6666667,0.003920204,No
402,21.2,25.2,0,454.5,0.003920204,No
403,21.2,25.245,0,455.5,0.003927249,No
404,21.2,25.245,0,453.5,0.003927249,No
405,21.2,25.29,0,452,0.003934293,No
406,21.2,25.29,0,451.5,0.003934293,No
407,21.2,25.29,0,451,0.003934293,No
408,21.16666667,25.35666667,0,450.3333333,0.003936616,No
409,21.16666667,25.39,0,450,0.003941824,No
410,21.15,25.39,0,453.5,0.003937767,No
411,21.1,25.39,0,454,0.003925619,No
412,21.15,25.39,0,452.5,0.003937767,No
413,21.1,25.39,0,454,0.003925619,No
414,21.1,25.39,0,457,0.003925619,No
415,21.1,25.46333333,0,450.3333333,0.003937029,No
416,21.1,25.5,0,451,0.003942734,No
417,21.1,25.5,0,451,0.003942734,No
418,21.05,25.445,0,449,0.003922035,No
419,21.1,25.5,0,449,0.003942734,No
420,21.05,25.445,0,450,0.003922035,No
421,21.05,25.445,0,449,0.003922035,No
422,21.1,25.5,0,445,0.003942734,No
423,21,25.39,0,443,0.003901421,No
424,21.1,25.5,0,446.5,0.003942734,No
425,21.1,25.5,0,446,0.003942734,No
426,21.1,25.5,0,451.5,0.003942734,No
427,21.1,25.39,0,445,0.003925619,No
428,21.1,25.39,0,449,0.003925619,No
429,21.1,25.39,0,451.6666667,0.003925619,No
430,21.1,25.39,0,452,0.003925619,No
431,21.1,25.39,0,451,0.003925619,No
432,21.05,25.34,0,450,0.003905749,No
433,21.1,25.39,0,450,0.003925619,No
434,21.1,25.39,0,448,0.003925619,No
435,21.1,25.39,0,450.6666667,0.003925619,No
436,21.1,25.39,0,450,0.003925619,No
437,21.15,25.39,0,446,0.003937767,No
438,21.1,25.39,0,444,0.003925619,No
439,21.125,25.39,0,447.5,0.003931689,No
440,21.13333333,25.39,0,443.3333333,0.003933714,No
441,21.1,25.34,0,443.5,0.00391784,No
442,21.1,25.34,0,444,0.00391784,No
443,21.15,25.34,0,449,0.003929964,No
444,21.2,25.29,0,449.3333333,0.003934293,No
445,21.15,25.29,0,448,0.003922161,No
446,21.15,25.245,0,449.5,0.003915138,No
447,21.2,25.245,0,450,0.003927249,No
448,21.2,25.2,0,447,0.003920204,No
449,21.2,25.2,0,446,0.003920204,No
450,21.13333333,25.2,0,443,0.003904093,No
451,21.16666667,25.2,0,444,0.003912141,No
452,21.2,25.2,0,444.5,0.003920204,No
453,21.2,25.2,0,445,0.003920204,No
454,21.2,25.2,0,451,0.003920204,No
455,21.2,25.2,0,450,0.003920204,No
456,21.2,25.2,0,444,0.003920204,No
457,21.2,25.2,0,443,0.003920204,No
458,21.2,25.1,0,438.5,0.00390455,No
459,21.2,25.1,0,441,0.00390455,No
460,21.2,25.1,0,444,0.00390455,No
461,21.2,25.15,0,441.5,0.003912377,No
462,21.2,25.1,0,441,0.00390455,No
463,21.2,25.1,0,439.5,0.00390455,No
464,21.2,25.1,0,441,0.00390455,No
465,21.2,25.1,0,442,0.00390455,No
466,21.2,25.1,0,441,0.00390455,No
467,21.2,25.1,0,436,0.00390455,No
468,21.2,25.1,0,442.5,0.00390455,No
469,21.2,25.1,0,446,0.00390455,No
470,21.2,25.1,0,443,0.00390455,No
471,21.2,25.1,0,437.5,0.00390455,No
472,21.2,25.1,0,440.5,0.00390455,No
473,21.2,25.05,0,439.5,0.003896723,No
474,21.2,25,0,443,0.003888897,No
475,21.2,25,0,443,0.003888897,No
476,21.2,25,0,438.5,0.003888897,No
477,21.2,25,0,438,0.003888897,No
478,21.2,25,0,442.3333333,0.003888897,No
479,21.2,25,0,448,0.003888897,No
480,21.2,25.1,0,447.5,0.00390455,No
481,21.125,25.1,0,445.75,0.003886501,No
482,21.1,25,0,439,0.003864945,No
483,21.1,25.1,0,440,0.003880502,No
484,21.1,25.1,0,441.5,0.003880502,No
485,21.1,25.06666667,0,439,0.003875316,No
486,21.1,25,0,439,0.003864945,No
487,21.1,25.1,0,437.5,0.003880502,No
488,21.05,25.05,0,437.5,0.003860772,No
489,21.1,25.1,0,439.3333333,0.003880502,No
490,21.1,25.1,0,443,0.003880502,No
491,21,25,0,440.5,0.003841124,No
492,21,25,0,442.3333333,0.003841124,No
493,21,25,0,440.6666667,0.003841124,No
494,21,25,0,440,0.003841124,No
495,21,25,0,439,0.003841124,No
496,21,25,0,442,0.003841124,No
497,21,25,0,443.5,0.003841124,No
498,21,25,0,445,0.003841124,No
499,21,25,0,445,0.003841124,No
500,21,25.05,0,442.5,0.003848854,No
501,21,25.1,0,440,0.003856584,No
502,21,25,0,439.5,0.003841124,No
503,21,25,0,438.5,0.003841124,No
504,21,25,0,435,0.003841124,No
505,21,25,0,439.5,0.003841124,No
506,21,25,0,440.5,0.003841124,No
507,21,25,0,439.5,0.003841124,No
508,21,25,0,441,0.003841124,No
509,21,25,0,442,0.003841124,No
510,21,25,0,445,0.003841124,No
511,21,25,0,444,0.003841124,No
512,21,25,0,445,0.003841124,No
513,21,24.89,0,444,0.003824119,No
514,21,24.89,0,443,0.003824119,No
515,21,24.89,0,448,0.003824119,No
516,21.05,24.945,0,443,0.003844489,No
517,21.05,24.945,0,440,0.003844489,No
518,21,24.89,0,440,0.003824119,No
519,21.03333333,24.92666667,0,441,0.00383769,No
520,21.05,24.945,0,440.5,0.003844489,No
521,21.05,24.945,0,444.5,0.003844489,No
522,21.1,25,0,446,0.003864945,No
523,21.05,24.945,0,442.5,0.003844489,No
524,21,24.89,0,439,0.003824119,No
525,21.1,24.89,0,441,0.003847834,No
526,21.1,24.89,0,438.3333333,0.003847834,No
527,21.03333333,24.89,0,439.5,0.00383201,No
528,21.075,24.9725,0,440.75,0.003854707,No
529,21.03333333,24.92666667,0,437,0.00383769,No
530,21.1,24.945,0,440.5,0.00385639,No
531,21.1,24.9175,0,442.25,0.003852112,No
532,21.1,24.89,0,435,0.003847834,No
533,21.1,24.89,0,435.5,0.003847834,No
534,21.1,24.89,0,432,0.003847834,No
535,21.1,24.89,0,439.5,0.003847834,No
536,21.05,24.84,0,442.5,0.003828207,No
537,21.1,24.89,0,438.5,0.003847834,No
538,21.05,24.84,0,435.5,0.003828207,No
539,21.06666667,24.85666667,0,437.3333333,0.003834741,No
540,21.1,24.89,0,437,0.003847834,No
541,21.03333333,24.82333333,0,438,0.003821683,No
542,21.025,24.84,0,435,0.003822295,No
543,21,24.79,0,440,0.003808661,No
544,21,24.82333333,0,441.3333333,0.003813814,No
545,21,24.85666667,0,435,0.003818966,No
546,21,24.89,0,432,0.003824119,No
547,21,24.89,0,435.5,0.003824119,No
548,21,24.89,0,444,0.003824119,No
549,21,24.84,0,444.5,0.00381639,No
550,21,24.89,0,446,0.003824119,No
551,21,24.89,0,445,0.003824119,No
552,21,24.89,0,438.3333333,0.003824119,No
553,21,24.89,0,445.5,0.003824119,No
554,21,24.89,0,439,0.003824119,No
555,21,24.89,0,439,0.003824119,No
556,20.945,24.89,0,439.5,0.003811131,No
557,20.96333333,24.89,0,443.3333333,0.003815456,No
558,20.89,24.89,0,443.5,0.003798181,No
559,20.92666667,24.89,0,444,0.00380681,No
560,21,24.89,0,447.5,0.003824119,No
561,20.89,24.89,0,445.5,0.003798181,No
562,20.89,24.89,0,443,0.003798181,No
563,20.89,24.89,0,438,0.003798181,No
564,20.89,24.89,0,428,0.003798181,No
565,20.89,24.89,0,431,0.003798181,No
566,20.89,24.89,0,441,0.003798181,No
567,20.89,24.89,0,446,0.003798181,No
568,20.89,24.89,0,447,0.003798181,No
569,20.89,24.89,0,439,0.003798181,No
570,20.89,24.89,0,438.3333333,0.003798181,No
571,20.89,24.89,0,442,0.003798181,No
572,20.92666667,24.79,0,443.3333333,0.003791422,No
573,20.89,24.79,0,448,0.003782829,No
574,20.89,24.79,0,444.5,0.003782829,No
575,20.92666667,24.79,0,443.3333333,0.003791422,No
576,20.945,24.79,0,445,0.003795725,No
577,21,24.7,0,445,0.003794749,No
578,21,24.7,0,443.5,0.003794749,No
579,21,24.7,0,439,0.003794749,No
580,21,24.7,0,441.5,0.003794749,No
581,21,24.63333333,0,441.3333333,0.003784445,No
582,21,24.6,0,441,0.003779293,No
583,21,24.6,0,441,0.003779293,No
584,21,24.6,0,440,0.003779293,No
585,21,24.6,0,436,0.003779293,No
586,21,24.6,0,444,0.003779293,No
587,21,24.6,0,442,0.003779293,No
588,21,24.6,0,443.6666667,0.003779293,No
589,21,24.6,0,439.5,0.003779293,No
590,21,24.56666667,0,439.3333333,0.003774141,No
591,21,24.55,0,443.5,0.003771565,No
592,21,24.5,0,445,0.003763837,No
593,21,24.5,0,441.5,0.003763837,No
594,21,24.5,0,445,0.003763837,No
595,21,24.5,0,444.5,0.003763837,No
596,21,24.5,0,443.6666667,0.003763837,No
597,21,24.5,0,445.5,0.003763837,No
598,21,24.445,0,445,0.003755336,No
599,21,24.445,0,443.5,0.003755336,No
600,21,24.39,0,447,0.003746836,No
601,21,24.39,0,444,0.003746836,No
602,21,24.5,0,442.5,0.003763837,No
603,21,24.42666667,0,445,0.003752503,No
604,21,24.5,0,444,0.003763837,No
605,21,24.39,0,440,0.003746836,No
606,21,24.39,0,445.5,0.003746836,No
607,21,24.39,0,444.5,0.003746836,No
608,21,24.39,0,442.5,0.003746836,No
609,21,24.39,0,444,0.003746836,No
610,21,24.39,0,442,0.003746836,No
